+---------------------------+---------+------------+-----------+
| CONCAT(e.l_name,e.f_name) | s_id    | r_date     | work_time |
| 葉山俊輔                  | HA0002  | 2012-12-21 |         9 |
| 葉山俊輔                  | HA0002  | 2012-12-22 |         8 |
| 葉山俊輔                  | HA0002  | 2012-12-23 |        10 |
| 葉山俊輔                  | HA0002  | 2012-12-26 |         8 |
| 葉山俊輔                  | HA0002  | 2012-12-27 |         8 |
| 葉山俊輔                  | HA0002  | 2012-12-28 |         8 |
| 川口裕子                  | KA00001 | 2012-12-01 |         8 |
| 川口裕子                  | KA00001 | 2012-12-02 |        10 |
| 川口裕子                  | KA00001 | 2012-12-05 |         8 |
| 川口裕子                  | KA00001 | 2012-12-06 |         9 |
| 川口裕子                  | KA00001 | 2012-12-07 |         8 |
| 川口裕子                  | KA00001 | 2012-12-08 |         8 |
| 川口裕子                  | KA00001 | 2012-12-09 |         9 |
| 川口裕子                  | KA00001 | 2012-12-12 |         8 |
| 川口裕子                  | KA00001 | 2012-12-13 |        10 |
| 川口裕子                  | KA00001 | 2012-12-14 |         9 |
| 川口裕子                  | KA00001 | 2012-12-15 |         8 |
| 川口裕子                  | KA00001 | 2012-12-16 |         8 |
| 川口裕子                  | KA00001 | 2012-12-19 |         8 |
| 川口裕子                  | KA00001 | 2012-12-20 |         8 |
| 川口裕子                  | KA00001 | 2012-12-21 |         9 |
| 川口裕子                  | KA00001 | 2012-12-22 |         8 |
| 川口裕子                  | KA00001 | 2012-12-23 |        10 |
| 川口裕子                  | KA00001 | 2012-12-26 |         8 |
| 川口裕子                  | KA00001 | 2012-12-27 |         8 |
| 川口裕子                  | KA00001 | 2012-12-28 |         8 |
| 加藤昭雄                  | KA00002 | 2012-12-01 |         8 |
| 加藤昭雄                  | KA00002 | 2012-12-02 |        10 |
| 加藤昭雄                  | KA00002 | 2012-12-05 |         8 |
| 加藤昭雄                  | KA00002 | 2012-12-06 |         9 |
| 加藤昭雄                  | KA00002 | 2012-12-07 |         8 |
| 加藤昭雄                  | KA00002 | 2012-12-08 |         8 |
| 加藤昭雄                  | KA00002 | 2012-12-09 |         9 |
| 加藤昭雄                  | KA00002 | 2012-12-12 |         8 |
| 加藤昭雄                  | KA00002 | 2012-12-13 |        10 |
| 加藤昭雄                  | KA00002 | 2012-12-14 |         9 |
| 加藤昭雄                  | KA00002 | 2012-12-15 |         8 |
| 加藤昭雄                  | KA00002 | 2012-12-16 |         8 |
| 加藤昭雄                  | KA00002 | 2012-12-19 |         8 |
| 加藤昭雄                  | KA00002 | 2012-12-20 |         8 |
| 加藤昭雄                  | KA00002 | 2012-12-21 |         9 |
| 加藤昭雄                  | KA00002 | 2012-12-22 |         8 |
| 加藤昭雄                  | KA00002 | 2012-12-23 |        10 |
| 加藤昭雄                  | KA00002 | 2012-12-26 |         8 |
| 加藤昭雄                  | KA00002 | 2012-12-27 |         8 |
| 加藤昭雄                  | KA00002 | 2012-12-28 |         8 |
| 神田佐知子                | KA00003 | 2012-12-01 |         8 |
| 神田佐知子                | KA00003 | 2012-12-02 |        10 |
| 神田佐知子                | KA00003 | 2012-12-05 |         8 |
| 神田佐知子                | KA00003 | 2012-12-06 |         9 |
| 神田佐知子                | KA00003 | 2012-12-07 |         8 |
| 神田佐知子                | KA00003 | 2012-12-08 |         8 |
| 神田佐知子                | KA00003 | 2012-12-09 |         9 |
| 神田佐知子                | KA00003 | 2012-12-12 |         8 |
| 神田佐知子                | KA00003 | 2012-12-13 |        10 |
| 神田佐知子                | KA00003 | 2012-12-14 |         9 |
| 神田佐知子                | KA00003 | 2012-12-15 |         8 |
| 神田佐知子                | KA00003 | 2012-12-16 |         8 |
| 神田佐知子                | KA00003 | 2012-12-19 |         8 |
| 神田佐知子                | KA00003 | 2012-12-20 |         8 |
| 神田佐知子                | KA00003 | 2012-12-21 |         9 |
| 神田佐知子                | KA00003 | 2012-12-22 |         8 |
| 神田佐知子                | KA00003 | 2012-12-23 |        10 |
| 神田佐知子                | KA00003 | 2012-12-26 |         8 |
| 神田佐知子                | KA00003 | 2012-12-27 |         8 |
| 神田佐知子                | KA00003 | 2012-12-28 |         8 |
| 木村一郎                  | KI00001 | 2012-12-01 |         8 |
| 木村一郎                  | KI00001 | 2012-12-02 |        10 |
| 木村一郎                  | KI00001 | 2012-12-05 |         8 |
| 木村一郎                  | KI00001 | 2012-12-06 |         9 |
| 木村一郎                  | KI00001 | 2012-12-07 |         8 |
| 木村一郎                  | KI00001 | 2012-12-08 |         8 |
| 木村一郎                  | KI00001 | 2012-12-09 |         9 |
| 木村一郎                  | KI00001 | 2012-12-12 |         8 |
| 木村一郎                  | KI00001 | 2012-12-13 |        10 |
| 木村一郎                  | KI00001 | 2012-12-14 |         9 |
| 木村一郎                  | KI00001 | 2012-12-15 |         8 |
| 木村一郎                  | KI00001 | 2012-12-16 |         8 |
| 木村一郎                  | KI00001 | 2012-12-19 |         8 |
| 木村一郎                  | KI00001 | 2012-12-20 |         8 |
| 木村一郎                  | KI00001 | 2012-12-21 |         9 |
| 木村一郎                  | KI00001 | 2012-12-22 |         8 |
| 木村一郎                  | KI00001 | 2012-12-23 |        10 |
| 木村一郎                  | KI00001 | 2012-12-26 |         8 |
| 木村一郎                  | KI00001 | 2012-12-27 |         8 |
| 木村一郎                  | KI00001 | 2012-12-28 |         8 |
| 中澤康代                  | NA00001 | 2012-12-01 |         8 |
| 中澤康代                  | NA00001 | 2012-12-02 |         8 |
| 中澤康代                  | NA00001 | 2012-12-05 |         9 |
| 中澤康代                  | NA00001 | 2012-12-06 |         8 |
| 中澤康代                  | NA00001 | 2012-12-07 |        10 |
| 中澤康代                  | NA00001 | 2012-12-08 |         9 |
| 中澤康代                  | NA00001 | 2012-12-09 |         8 |
| 中澤康代                  | NA00001 | 2012-12-12 |         8 |
| 中澤康代                  | NA00001 | 2012-12-13 |         8 |
| 中澤康代                  | NA00001 | 2012-12-14 |         8 |
| 中澤康代                  | NA00001 | 2012-12-15 |         9 |
| 中澤康代                  | NA00001 | 2012-12-16 |         8 |
| 中澤康代                  | NA00001 | 2012-12-19 |        10 |
| 中澤康代                  | NA00001 | 2012-12-20 |         8 |
| 中澤康代                  | NA00001 | 2012-12-21 |         8 |
| 中澤康代                  | NA00001 | 2012-12-22 |         8 |
| 中澤康代                  | NA00001 | 2012-12-23 |         8 |
| 中澤康代                  | NA00001 | 2012-12-26 |        10 |
| 中澤康代                  | NA00001 | 2012-12-27 |         8 |
| 中澤康代                  | NA00001 | 2012-12-28 |         9 |
| 野上利江                  | NO00001 | 2012-12-01 |         8 |
| 野上利江                  | NO00001 | 2012-12-02 |         8 |
| 野上利江                  | NO00001 | 2012-12-05 |         9 |
| 野上利江                  | NO00001 | 2012-12-06 |         8 |
| 野上利江                  | NO00001 | 2012-12-07 |        10 |
| 野上利江                  | NO00001 | 2012-12-08 |         9 |
| 野上利江                  | NO00001 | 2012-12-09 |         8 |
| 野上利江                  | NO00001 | 2012-12-12 |         8 |
| 野上利江                  | NO00001 | 2012-12-13 |         8 |
| 野上利江                  | NO00001 | 2012-12-14 |         8 |
| 野上利江                  | NO00001 | 2012-12-15 |         9 |
| 野上利江                  | NO00001 | 2012-12-16 |         8 |
| 野上利江                  | NO00001 | 2012-12-19 |        10 |
| 野上利江                  | NO00001 | 2012-12-20 |         8 |
| 野上利江                  | NO00001 | 2012-12-21 |         8 |
| 野上利江                  | NO00001 | 2012-12-22 |         8 |
| 野上利江                  | NO00001 | 2012-12-23 |         8 |
| 野上利江                  | NO00001 | 2012-12-26 |        10 |
| 野上利江                  | NO00001 | 2012-12-27 |         8 |
| 野上利江                  | NO00001 | 2012-12-28 |         9 |
| 清水春子                  | SI00001 | 2012-12-01 |         8 |
| 清水春子                  | SI00001 | 2012-12-02 |        10 |
| 清水春子                  | SI00001 | 2012-12-05 |         8 |
| 清水春子                  | SI00001 | 2012-12-06 |         9 |
| 清水春子                  | SI00001 | 2012-12-07 |         8 |
| 清水春子                  | SI00001 | 2012-12-08 |         8 |
| 清水春子                  | SI00001 | 2012-12-09 |         9 |
| 清水春子                  | SI00001 | 2012-12-12 |         8 |
| 清水春子                  | SI00001 | 2012-12-13 |        10 |
| 清水春子                  | SI00001 | 2012-12-14 |         9 |
| 清水春子                  | SI00001 | 2012-12-15 |         8 |
| 清水春子                  | SI00001 | 2012-12-16 |         8 |
| 清水春子                  | SI00001 | 2012-12-19 |         8 |
| 清水春子                  | SI00001 | 2012-12-20 |         8 |
| 清水春子                  | SI00001 | 2012-12-21 |         9 |
| 清水春子                  | SI00001 | 2012-12-22 |         8 |
| 清水春子                  | SI00001 | 2012-12-23 |        10 |
| 清水春子                  | SI00001 | 2012-12-26 |         8 |
| 清水春子                  | SI00001 | 2012-12-27 |         8 |
| 清水春子                  | SI00001 | 2012-12-28 |         8 |
| 田中真由子                | TA00001 | 2012-12-01 |        10 |
| 田中真由子                | TA00001 | 2012-12-02 |        11 |
| 田中真由子                | TA00001 | 2012-12-05 |        10 |
| 田中真由子                | TA00001 | 2012-12-06 |         9 |
| 田中真由子                | TA00001 | 2012-12-07 |        10 |
| 田中真由子                | TA00001 | 2012-12-08 |         8 |
| 田中真由子                | TA00001 | 2012-12-09 |         8 |
| 田中真由子                | TA00001 | 2012-12-12 |         8 |
| 田中真由子                | TA00001 | 2012-12-13 |         8 |
| 田中真由子                | TA00001 | 2012-12-14 |         4 |
| 田中真由子                | TA00001 | 2012-12-15 |         8 |
| 田中真由子                | TA00001 | 2012-12-16 |         8 |
| 田中真由子                | TA00001 | 2012-12-19 |        10 |
| 田中真由子                | TA00001 | 2012-12-20 |         9 |
| 田中真由子                | TA00001 | 2012-12-21 |         9 |
| 田中真由子                | TA00001 | 2012-12-22 |         8 |
| 田中真由子                | TA00001 | 2012-12-23 |        11 |
| 田中真由子                | TA00001 | 2012-12-26 |         9 |
| 田中真由子                | TA00001 | 2012-12-27 |         8 |
| 田中真由子                | TA00001 | 2012-12-28 |         6 |
| 田辺正一                  | TA00002 | 2012-12-01 |         8 |
| 田辺正一                  | TA00002 | 2012-12-02 |        10 |
| 田辺正一                  | TA00002 | 2012-12-05 |         8 |
| 田辺正一                  | TA00002 | 2012-12-06 |         9 |
| 田辺正一                  | TA00002 | 2012-12-07 |         8 |
| 田辺正一                  | TA00002 | 2012-12-08 |         8 |
| 田辺正一                  | TA00002 | 2012-12-09 |         9 |
| 田辺正一                  | TA00002 | 2012-12-12 |         8 |
| 田辺正一                  | TA00002 | 2012-12-13 |        10 |
| 田辺正一                  | TA00002 | 2012-12-14 |         9 |
| 田辺正一                  | TA00002 | 2012-12-15 |         8 |
| 田辺正一                  | TA00002 | 2012-12-16 |         8 |
| 田辺正一                  | TA00002 | 2012-12-19 |         8 |
| 田辺正一                  | TA00002 | 2012-12-20 |         8 |
| 田辺正一                  | TA00002 | 2012-12-21 |         9 |
| 田辺正一                  | TA00002 | 2012-12-22 |         8 |
| 田辺正一                  | TA00002 | 2012-12-23 |        10 |
| 田辺正一                  | TA00002 | 2012-12-26 |         8 |
| 田辺正一                  | TA00002 | 2012-12-27 |         8 |
| 田辺正一                  | TA00002 | 2012-12-28 |         8 |
| 戸川よしみ                | TO00002 | 2012-12-01 |         8 |
| 戸川よしみ                | TO00002 | 2012-12-02 |        10 |
| 戸川よしみ                | TO00002 | 2012-12-05 |         8 |
| 戸川よしみ                | TO00002 | 2012-12-06 |         9 |
| 戸川よしみ                | TO00002 | 2012-12-07 |         8 |
| 戸川よしみ                | TO00002 | 2012-12-08 |         8 |
| 戸川よしみ                | TO00002 | 2012-12-09 |         9 |
| 戸川よしみ                | TO00002 | 2012-12-12 |         8 |
| 戸川よしみ                | TO00002 | 2012-12-13 |        10 |
| 戸川よしみ                | TO00002 | 2012-12-14 |         9 |
| 戸川よしみ                | TO00002 | 2012-12-15 |         8 |
| 戸川よしみ                | TO00002 | 2012-12-16 |         8 |
| 戸川よしみ                | TO00002 | 2012-12-19 |         8 |
| 戸川よしみ                | TO00002 | 2012-12-20 |         8 |
| 戸川よしみ                | TO00002 | 2012-12-21 |         9 |
| 戸川よしみ                | TO00002 | 2012-12-22 |         8 |
| 戸川よしみ                | TO00002 | 2012-12-23 |        10 |
| 戸川よしみ                | TO00002 | 2012-12-26 |         8 |
| 戸川よしみ                | TO00002 | 2012-12-27 |         8 |
| 戸川よしみ                | TO00002 | 2012-12-28 |         8 |
| 津村知美                  | TU00001 | 2012-12-01 |         8 |
| 津村知美                  | TU00001 | 2012-12-02 |        10 |
| 津村知美                  | TU00001 | 2012-12-05 |         8 |
| 津村知美                  | TU00001 | 2012-12-06 |         9 |
| 津村知美                  | TU00001 | 2012-12-07 |         8 |
| 津村知美                  | TU00001 | 2012-12-08 |         8 |
| 津村知美                  | TU00001 | 2012-12-09 |         9 |
| 津村知美                  | TU00001 | 2012-12-12 |         8 |
| 津村知美                  | TU00001 | 2012-12-13 |        10 |
| 津村知美                  | TU00001 | 2012-12-14 |         9 |
| 津村知美                  | TU00001 | 2012-12-15 |         8 |
| 津村知美                  | TU00001 | 2012-12-16 |         8 |
| 津村知美                  | TU00001 | 2012-12-19 |         8 |
| 津村知美                  | TU00001 | 2012-12-20 |         8 |
| 津村知美                  | TU00001 | 2012-12-21 |         9 |
| 津村知美                  | TU00001 | 2012-12-22 |         8 |
| 津村知美                  | TU00001 | 2012-12-23 |        10 |
| 津村知美                  | TU00001 | 2012-12-26 |         8 |
| 津村知美                  | TU00001 | 2012-12-27 |         8 |
| 津村知美                  | TU00001 | 2012-12-28 |         8 |
+---------------------------+---------+------------+-----------+
